id,owner,device,timestamp,cellinfo.wgs84.lon,cellinfo.wgs84.lat,cellinfo.azimuth_degrees,cell
166,AgentO,O_1,2023-05-01 00:46:46,4.3497636751020305,52.00588464056726,210,0-0-0
167,AgentA,A_2,2023-05-01 00:47:09,4.355013007950339,52.01068585398698,110,0-0-0
168,AgentA,A_2,2023-05-01 00:47:32,4.355013007950339,52.01068585398698,110,0-0-0
169,AgentG,G_2,2023-05-01 00:47:55,4.3530496140647505,52.013077609082096,30,0-0-0
170,AgentR,R_2,2023-05-01 00:47:55,4.356550142366685,51.996416163037686,300,0-0-0
171,AgentG,G_2,2023-05-01 00:48:18,4.3530496140647505,52.013077609082096,30,0-0-0
172,AgentI,I_2,2023-05-01 00:49:04,4.356195988642664,52.02068273213007,120,0-0-0
173,AgentR,R_2,2023-05-01 00:49:04,4.356550142366685,51.996416163037686,300,0-0-0
174,AgentE,E_2,2023-05-01 00:49:27,4.3458253171449615,51.99296892005271,120,0-0-0
175,AgentN,N_2,2023-05-01 00:49:27,4.354546234187175,51.98921655191236,120,0-0-0
176,AgentP,P_2,2023-05-01 00:49:27,4.356550142366685,51.996416163037686,50,0-0-0
177,AgentB,B_1,2023-05-01 00:49:50,4.330403173897175,51.991213434504516,80,0-0-0
178,AgentR,R_2,2023-05-01 00:50:13,4.356550142366685,51.996416163037686,300,0-0-0
179,AgentF,F_2,2023-05-01 00:50:36,4.343948528788537,52.018561346495936,260,0-0-0
180,AgentG,G_1,2023-05-01 00:50:36,4.3530496140647505,52.013077609082096,30,0-0-0
181,AgentJ,J_1,2023-05-01 00:50:59,4.366390654673757,51.99464126281873,240,0-0-0
182,AgentR,R_2,2023-05-01 00:50:59,4.356550142366685,51.996416163037686,300,0-0-0
183,AgentS,S_1,2023-05-01 00:50:59,4.3530496140647505,52.013077609082096,250,0-0-0
184,AgentB,B_2,2023-05-01 00:51:22,4.330403173897175,51.991213434504516,80,0-0-0
185,AgentD,D_2,2023-05-01 00:51:22,4.356550142366685,51.996416163037686,300,0-0-0
186,AgentD,D_1,2023-05-01 00:51:45,4.356550142366685,51.996416163037686,300,0-0-0
187,AgentM,M_1,2023-05-01 00:51:45,4.3381867139841965,51.997701092782705,300,0-0-0
188,AgentI,I_1,2023-05-01 00:52:08,4.356195988642664,52.02068273213007,120,0-0-0
189,AgentJ,J_2,2023-05-01 00:52:08,4.366390654673757,51.99464126281873,240,0-0-0
